,long,lat,group,order,region,State
92030,-118.4920349,33.41279221,1475,92030,USA,California
92031,-118.5073166,33.42700195,1475,92031,USA,California
92032,-118.5594177,33.43198395,1475,92032,USA,California
92033,-118.563324,33.43706131,1475,92033,USA,California
92034,-118.5694351,33.46416092,1475,92034,USA,California
92035,-118.5548325,33.47710037,1475,92035,USA,California
92036,-118.3917007,33.41508865,1475,92036,USA,California
92037,-118.3479462,33.38574219,1475,92037,USA,California
92039,-120.0435562,33.91884995,1476,92039,USA,California
92040,-120.1139145,33.90488052,1476,92040,USA,California
92041,-120.1671371,33.91806793,1476,92041,USA,California
92042,-120.2518997,34.01386642,1476,92042,USA,California
92043,-120.0718307,34.02651215,1476,92043,USA,California
92044,-119.9943924,33.98490906,1476,92044,USA,California
92045,-119.9839401,33.97333908,1476,92045,USA,California
92046,-120.0435562,33.91884995,1476,92046,USA,California
92048,-120.3065948,34.02485275,1477,92048,USA,California
92049,-120.3597183,34.02226639,1477,92049,USA,California
92050,-120.4415512,34.03290939,1477,92050,USA,California
92051,-120.412941,34.05630112,1477,92051,USA,California
92052,-120.3677292,34.07329178,1477,92052,USA,California
92053,-120.3533173,34.06059647,1477,92053,USA,California
92054,-120.3065948,34.02485275,1477,92054,USA,California
92056,-119.8823776,34.07968521,1478,92056,USA,California
92057,-119.6788635,34.02846527,1478,92057,USA,California
92058,-119.5691376,34.05298233,1478,92058,USA,California
92059,-119.549263,34.02817154,1478,92059,USA,California
92060,-119.5622025,34.0065918,1478,92060,USA,California
92061,-119.8095627,33.96777344,1478,92061,USA,California
92062,-119.8855057,33.99491882,1478,92062,USA,California
92063,-119.8924255,34.03218079,1478,92063,USA,California
92064,-119.9180679,34.0678215,1478,92064,USA,California
92065,-119.8823776,34.07968521,1478,92065,USA,California
92075,-76.50366211,34.64296722,1480,92075,USA,Core Banks
92076,-76.52856445,34.63149261,1480,92076,USA,Core Banks
92077,-76.43701172,34.75634766,1480,92077,USA,Core Banks
92078,-76.2562027,34.91469574,1480,92078,USA,Core Banks
92079,-76.20737457,34.93891907,1480,92079,USA,Core Banks
92080,-76.35771942,34.80366135,1480,92080,USA,Core Banks
92081,-76.50366211,34.64296722,1480,92081,USA,Core Banks
92083,-75.78192902,35.19018555,1481,92083,USA,Ocracoke Island
92084,-75.96366882,35.11884689,1481,92084,USA,Ocracoke Island
92085,-75.98418427,35.12309647,1481,92085,USA,Ocracoke Island
92086,-75.86493683,35.17412186,1481,92086,USA,Ocracoke Island
92087,-75.78192902,35.19018555,1481,92087,USA,Ocracoke Island
92089,-75.54413605,35.24008942,1482,92089,USA,Pea Island
92090,-75.67826843,35.21284103,1482,92090,USA,Pea Island
92091,-75.69008636,35.22158051,1482,92091,USA,Pea Island
92092,-75.53637695,35.27861404,1482,92092,USA,Pea Island
92093,-75.48789215,35.47949219,1482,92093,USA,Pea Island
92094,-75.48124695,35.57212067,1482,92094,USA,Pea Island
92095,-75.50429535,35.73540115,1482,92095,USA,Pea Island
92096,-75.50351715,35.76914215,1482,92096,USA,Pea Island
92097,-75.47851563,35.71650314,1482,92097,USA,Pea Island
92098,-75.45644379,35.56415939,1482,92098,USA,Pea Island
92099,-75.46474457,35.4486351,1482,92099,USA,Pea Island
92100,-75.50932312,35.28031921,1482,92100,USA,Pea Island
92101,-75.54413605,35.24008942,1482,92101,USA,Pea Island
92110,-75.33306122,37.88828278,1484,92110,USA,Chincoteague Island
92111,-75.37851715,37.87207031,1484,92111,USA,Chincoteague Island
92112,-75.22597504,38.07231522,1484,92112,USA,Chincoteague Island
92113,-75.1374054,38.24008942,1484,92113,USA,Chincoteague Island
92114,-75.09790039,38.2980957,1484,92114,USA,Chincoteague Island
92115,-75.13623047,38.1805191,1484,92115,USA,Chincoteague Island
92116,-75.20322418,38.0724144,1484,92116,USA,Chincoteague Island
92117,-75.33306122,37.88828278,1484,92117,USA,Chincoteague Island
92119,-74.1332016,39.68076324,1485,92119,USA,Long Beach Island
92120,-74.25048828,39.52939606,1485,92120,USA,Long Beach Island
92121,-74.25317383,39.55849457,1485,92121,USA,Long Beach Island
92122,-74.10674286,39.74643326,1485,92122,USA,Long Beach Island
92123,-74.1332016,39.68076324,1485,92123,USA,Long Beach Island
92135,-72.50976563,40.98603439,1487,92135,USA,New York
92136,-72.58086395,40.92133713,1487,92136,USA,New York
92137,-72.51660156,40.91479492,1487,92137,USA,New York
92138,-72.4613266,40.9337883,1487,92138,USA,New York
92139,-72.40898895,40.97216797,1487,92139,USA,New York
92140,-72.2874527,41.02407455,1487,92140,USA,New York
92141,-72.18388367,41.04677582,1487,92141,USA,New York
92142,-72.15126801,41.05146408,1487,92142,USA,New York
92143,-72.10189819,41.01504135,1487,92143,USA,New York
